"वस्तु","एकाइ","न्यूनतम","अधिकतम","औसत"
"अदुवा","के.जी.","रू. १८०","रू. २००","१९०.००"
"अदुवा","के.जी.","रू. ११०","रू. १२०","११५.००"
"अनार","के.जी.","रू. २२५","रू. २६०","२४२.५०"
"अनार","के.जी.","रू. १९०","रू. २००","१९५.००"
"अम्बा","के.जी.","रू. ३०","रू. ४०","३५.००"
"आलु रातो","के.जी.","रू. ५५","रू. ६०","५७.५०"
"आलु रातो","के.जी.","रू. ४४","रू. ४६","४५.००"
"आलु सेतो","के.जी.","रू. ४८","रू. ५२","५०.००"
"आलु सेतो","के.जी.","रू. ३८","रू. ४०","३९.००"
"इमली","के.जी.","रू. ११०","रू. १२०","११५.००"
"इमली","के.जी.","रू. ९०","रू. १००","९५.००"
"उखु","प्रति वटा","रू. ९०","रू. १००","९५.००"
"काउली स्थानिय","के.जी.","रू. ७५","रू. ८०","७७.५०"
"काउली स्थानिय","के.जी.","रू. ६०","रू. ७०","६५.००"
"काक्रो(लोकल)","के.जी.","रू. ४५","रू. ५५","५०.००"
"काक्रो(लोकल)","के.जी.","रू. ३०","रू. ४०","३५.००"
"कागती","के.जी.","रू. ५००","रू. ७००","६००.००"
"कागती","के.जी.","रू. ५००","रू. ६००","५५०.००"
"कुरीलो","के.जी.","रू. ४००","रू. ४२०","४१०.००"
"केरा","दर्जन","रू. ५०","रू. ६०","५५.००"
"केरा","दर्जन","रू. ४०","रू. ५०","४५.००"
"खु्र्सानी सुकेको","के.जी.","रू. २४०","रू. २५०","२४५.००"
"खु्र्सानी सुकेको","के.जी.","रू. १९०","रू. २००","१९५.००"
"खु्र्सानी हरियो","के.जी.","रू. १००","रू. १२०","११०.००"
"खु्र्सानी हरियो","के.जी.","रू. ७५","रू. ८०","७७.५०"
"गाजर(लोकल)","के.जी.","रू. ९०","रू. १००","९५.००"
"गाजर(लोकल)","के.जी.","रू. ९०","रू. १००","९५.००"
"गान्टे मूला","के.जी.","रू. ६०","रू. ६५","६२.५०"
"गान्टे मूला","के.जी.","रू. ४०","रू. ४५","४२.५०"
"गुन्दुक","के.जी.","रू. १९०","रू. २००","१९५.००"
"गोलभेडा सानो","के.जी.","रू. ६५","रू. ७०","६७.५०"
"गोलभेडा सानो","के.जी.","रू. ५०","रू. ६०","५५.००"
"घिउ सिमी(लोकल)","के.जी.","रू. ७०","रू. ८०","७५.००"
"घिउ सिमी(लोकल)","के.जी.","रू. ५५","रू. ६०","५७.५०"
"घिरौला","के.जी.","रू. ४५","रू. ५०","४७.५०"
"घिरौला","के.जी.","रू. ३८","रू. ४०","३९.००"
"चमसूरको साग","के.जी.","रू. ७५","रू. ८०","७७.५०"
"चमसूरको साग","के.जी.","रू. ८०","रू. ९०","८५.००"
"चिचिण्डो","के.जी.","रू. ३५","रू. ४०","३७.५०"
"चिचिण्डो","के.जी.","रू. ३५","रू. ४०","३७.५०"
"चुकुन्दर","के.जी.","रू. ७५","रू. ८०","७७.५०"
"चुकुन्दर","के.जी.","रू. ६०","रू. ७०","६५.००"
"च्याउ(कन्य)","के.जी.","रू. १७५","रू. १९०","१८२.५०"
"च्याउ(कन्य)","के.जी.","रू. १६०","रू. १८०","१७०.००"
"छ्यापी सुकेको","के.जी.","रू. १७५","रू. २००","१८७.५०"
"छ्यापी सुकेको","के.जी.","रू. १२०","रू. १३०","१२५.००"
"छ्यापी हरियो","के.जी.","रू. ९०","रू. १००","९५.००"
"जिरीको साग","के.जी.","रू. ६०","रू. ६५","६२.५०"
"जिरीको साग","के.जी.","रू. ५५","रू. ६०","५७.५०"
"झिगूनी","के.जी.","रू. ६५","रू. ७०","६७.५०"
